"dataset","stage","object_or_file","variable","role","type","source_variable_in_script","cdc_variable_name","filter_or_exclusion","final_coding_or_transformation","description","created_by","used_in","notes"
"brfss_2023","raw","data/raw/brfss_2023/LLCP2023.XPT","LLCP2023.XPT","raw_input_file","SAS Transport XPT","NA","NA","File must exist before preprocessing","Read with haven::read_xpt; variable names converted with make.names","Public-use BRFSS 2023 raw data file used as input","scripts/01_download_brfss_2023.R","scripts/02_prepare_brfss_2023.R","Raw file is not stored in the Git repository"
"brfss_2023","processed","data/processed/brfss2023_preprocessed_for_bnpmccr.rds","brfss_preprocessed","analysis_object","R list","NA","NA","Analysis uses rows retained after all exclusion rules in scripts/02_prepare_brfss_2023.R","Saved list containing X, age_raw, X3, Y, and responseType","Final preprocessed data object for the BNPMCCR BRFSS application","scripts/02_prepare_brfss_2023.R","scripts/03_fit_brfss_2023.R","The preparation script prints n, m, and p after saving"
"brfss_2023","processed","Y","Diabetes","response","ordinal numeric","DIABETE4","DIABETE4","Exclude DIABETE4 values 7 and 9; remove rows with DIABETE4 value 2 before final recoding","DIABETE4 1 -> 2; DIABETE4 3 -> 0; remaining allowed values -> 1","Ordinal diabetes response in the Y matrix","scripts/02_prepare_brfss_2023.R","scripts/03_fit_brfss_2023.R","Column 1 of Y; responseType is ordinal"
"brfss_2023","processed","Y","HighBP","response","binary numeric","X_RFHYPE6","_RFHYPE6","Exclude X_RFHYPE6 value 9","X_RFHYPE6 1 -> 0; all other retained values -> 1","High blood pressure response in the Y matrix","scripts/02_prepare_brfss_2023.R","scripts/03_fit_brfss_2023.R","Column 2 of Y; responseType is binary"
"brfss_2023","processed","Y","HighChol","response","binary numeric","X_RFCHOL3","_RFCHOL3","Exclude X_RFCHOL3 value 9","X_RFCHOL3 1 -> 0; all other retained values -> 1","High cholesterol response in the Y matrix","scripts/02_prepare_brfss_2023.R","scripts/03_fit_brfss_2023.R","Column 3 of Y; responseType is binary"
"brfss_2023","processed","Y","Stroke","response","binary numeric","CVDSTRK3","CVDSTRK3","Exclude CVDSTRK3 values 7 and 9; exclude missing CVDSTRK3","CVDSTRK3 1 -> 1; all other retained values -> 0","Stroke response in the Y matrix","scripts/02_prepare_brfss_2023.R","scripts/03_fit_brfss_2023.R","Column 4 of Y; responseType is binary"
"brfss_2023","processed","Y","HeartDisease","response","binary numeric","X_MICHD","_MICHD","Exclude X_MICHD value 9","X_MICHD 1 -> 1; all other retained values -> 0","Heart disease response in the Y matrix","scripts/02_prepare_brfss_2023.R","scripts/03_fit_brfss_2023.R","Column 5 of Y; responseType is binary"
"brfss_2023","processed","Y","Arthritis","response","binary numeric","X_DRDXAR2","_DRDXAR2","Exclude X_DRDXAR2 value 9","X_DRDXAR2 1 -> 1; all other retained values -> 0","Arthritis response in the Y matrix","scripts/02_prepare_brfss_2023.R","scripts/03_fit_brfss_2023.R","Column 6 of Y; responseType is binary"
"brfss_2023","processed","Y","Asthma","response","binary numeric","X_LTASTH1","_LTASTH1","Exclude X_LTASTH1 value 9","X_LTASTH1 1 -> 0; all other retained values -> 1","Asthma response in the Y matrix","scripts/02_prepare_brfss_2023.R","scripts/03_fit_brfss_2023.R","Column 7 of Y; responseType is binary"
"brfss_2023","processed","Y","LogBMI","response","continuous numeric","X_BMI5","_BMI5","Rows are filtered using X_RFBMI5 != 9 and nonmissing X_BMI5CAT","log(X_BMI5 / 100)","Log-transformed body mass index response in the Y matrix","scripts/02_prepare_brfss_2023.R","scripts/03_fit_brfss_2023.R","Column 8 of Y; responseType is Gaussian"
